level,con00,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,con51,con52,con53,con54,con55,con56,con57,con58,con59,con60,con61,con62,con63,con64,con65,con66,con67,con68,con69,con70,con71,con72,con73,con74,con75,con76,con77,con78,con79,con80,con81,con82,con83,con84,con85,con86,con87,con88,con89,stc00,stc01,stc02,stc03,stc04,stc05,stc06,stc07,stc08,stc09,stc10,stc11,stc12,stc13,stc14,stc15,stc16,stc17,stc18,stc19,stc20,stc21,stc22,stc23,stc24,stc25,stc26,stc27,stc28,stc29,stc30,stc31,stc32,stc33,stc34,stc35,stc36,stc37,stc38,stc39,stc40,stc41,stc42,stc43,stc44,stc45,stc46,stc47,stc48,stc49,stc50,stc51,stc52,stc53,stc54,stc55,stc56,stc57,stc58,stc59,stc60,stc61,stc62,stc63,stc64,stc65,stc66,stc67,stc68,stc69,stc70,stc71,stc72,stc73,stc74,stc75,stc76,stc77,stc78,stc79,stc80,stc81,stc82,stc83,stc84,stc85,stc86,stc87,stc88,stc89
0,0.0252552249110006,0.0463580290972255,0.0329588065516265,0.0297026795858368,0.0366981482077746,0.0311962892480027,0.0196411690246167,0.0272414787292093,0.0325402984199134,0.0456605837801917,0.0092688521132557,0.0136677253050409,0.0242054487581726,0.0332980252164121,0.02295143569551,0.0239408679637455,0.0336649746473083,0.0236880245194414,0.0337375951994294,0.0367333951872324,0.0294537938124025,0.0203153017841977,0.0347218741303617,0.0113156129930961,0.0202916086590551,0.0125923963320016,0.0183469352027893,0.0265553614998801,0.0189429799339998,0.0100506591987285,0.0272293461368485,0.0281293679653404,0.0294640805998149,0.0168681730051571,0.0255764449406877,0.0311803191456456,0.0457789167683409,0.0374927650139281,0.0446896902597804,0.0208379598963291,0.0153238148055539,0.0199522088865019,0.0549954333245628,0.022961158143676,0.021310157177089,0.0254817034070669,0.0305320846765962,0.0219665299508837,0.0159355336064266,0.0273418597523328,0.0354890656520756,0.0261818032940901,0.0352623849627691,0.0318659870723757,0.0445048369894643,0.0358448694647633,0.0558781299547572,0.0363088162218501,0.0370732610987292,0.0114335371753227,0.035440967560824,0.0145596677529721,0.0429677920037212,0.0382164816946559,0.0494175187254111,0.0635243633300648,0.0695242129180716,0.0579649396517267,0.0525520191281617,0.0541547528509656,0.0193966979455272,0.0997663879687724,0.0261731672334323,0.015793609527681,0.0270691902533215,0.0179201121398482,0.0207913664144532,0.0179871897181454,0.0130320060020666,0.0469732550826647,0.0211823175411683,0.015541245075237,0.0300474492098959,0.0272180490787684,0.0295977689884316,0.0900484391859288,0.0544996630292852,0.0224437463938944,0.0374228916950711,0.0241231425976028,0.0157737560904872,0.0183459323283147,0.0244846720012443,0.0167556374049992,0.012168020648616,0.0176634839903982,0.0238115636947411,0.0242244387189571,0.0189149765563082,0.0281934892793574,0.0318404014319982,0.0187552636027878,0.0174208284120724,0.0183108333268159,0.0160184076616788,0.0269887240897421,0.0259902376852946,0.0286116088642158,0.0174182482683704,0.0199813452482869,0.0349978231325581,0.0133353747342926,0.007579881850121,0.0284649408255647,0.0209810188778758,0.023894210064722,0.0201159748607042,0.0289231915546266,0.0304995814311072,0.0172274587037862,0.0160184563344583,0.0135087750061191,0.0161965215811294,0.0184288865324099,0.0100755477452373,0.0128138999949242,0.0117648628906442,0.0100269802429961,0.0183377518886576,0.0147374834119291,0.0282539306043931,0.0127203666272555,0.0153051137510265,0.0119949624575789,0.0115432648547743,0.0192441099341316,0.023463932895575,0.0232474817577839,0.0118003559190206,0.013335810258345,0.0070100515281603,0.0115228457386604,0.0093411268697331,0.0136888990945218,0.0113293260706459,0.029468054833596,0.0134287457050918,0.0143059675343949,0.0118719337420968,0.0516654168886592,0.0143950690572406,0.0347409947482146,0.0121861997085052,0.0274566284964883,0.0128633648140225,0.0077816349128045,0.0127559273230208,0.0390999117306756,0.0223043817808214,0.0131527107559096,0.0088692768853526,0.0252099982642305,0.0216597018463,0.0264375090896826,0.0102729973363718,0.0455287949845279,0.0723628611848399,0.0113763776715446,0.0076573229500182,0.0152132981242573,0.0072422202687529,0.0177181966486003,0.0206630226754113,0.0163985629739672,0.0200558888431986,0.0256719803658612,0.0335040048567183,0.0083992848652118,0.034207364797471,0.0140881976168644
1,0.0298787580158908,0.0518360728744203,0.0348874974535795,0.0279140629866215,0.0218267638331705,0.0303576806188484,0.0174169255048984,0.0255757062166107,0.0240576360288293,0.0274608946263644,0.0091246737071006,0.0129096298874709,0.022760144919171,0.0346990832955468,0.0247047413685386,0.0227441981500343,0.0321139270734604,0.0274751287469814,0.0299149809749848,0.0471220146242586,0.0369667893005745,0.0155665040090406,0.0281959020394991,0.0126726149616484,0.0553681148727365,0.012149831358472,0.0156422318421446,0.0137602920634726,0.0118369566628826,0.0069365928430291,0.0228852460832231,0.0228390251394448,0.0267299995623503,0.022082547405774,0.0277227298009156,0.0220476226351543,0.0444659906961863,0.0361795528166924,0.0371356537919833,0.0371921458114805,0.023021333370105,0.0191738397705658,0.0547728868100547,0.0165928160503473,0.0274345087039545,0.0316135797779457,0.019184828931901,0.024191824626083,0.0302177729214555,0.0220238661643565,0.0380619192569966,0.0237122928341403,0.0275357696886893,0.0305985272435538,0.0458839061856586,0.0327457417121818,0.0590666695787064,0.034267046235436,0.041125512939797,0.0074706769640929,0.0297041024832077,0.0200012006658744,0.0443267187830241,0.0298350139615516,0.0382140804538764,0.059119540295005,0.051957432895903,0.0478446472860869,0.0538222666909574,0.0450531084513061,0.0173074833162723,0.0808247490345708,0.0225832324979369,0.0115213217345681,0.0307966720915239,0.0197849884966028,0.0244767140723301,0.0110464002904124,0.0175743007421069,0.0438384487296082,0.0286050532915892,0.0129686194206334,0.0248123933625809,0.0411068423232135,0.0253394933804513,0.0935301056182283,0.0466996574169097,0.0242646008483778,0.0221387179567563,0.0236803907748859,0.0170459781859057,0.0164264879035239,0.0240399776824202,0.017848323861159,0.0154076324388708,0.0176248768996475,0.0181595417886303,0.024636886663635,0.0151626523851532,0.0230959595261003,0.0286558931647928,0.0150365331344,0.0185370444615215,0.0191827490938062,0.0165497305695347,0.02978417319185,0.0272215318328218,0.0283264186774294,0.0189030934710733,0.0200690471984362,0.0319655513608614,0.011353251092798,0.0080327942734798,0.0292673718032188,0.0203766154581165,0.024095726630286,0.0254435081961022,0.0265610168647068,0.0313915060500644,0.0176497837387087,0.0152655802706037,0.0176758533090433,0.0254111349925093,0.0168382458315021,0.0129009205580298,0.0135646214768375,0.0120292150491651,0.0089533380113609,0.0269167135851779,0.0135439383987655,0.0244593245355122,0.0112752904342692,0.0158518945883414,0.0128072309679518,0.0127410139155621,0.0195823086153592,0.0202054769014349,0.0240594921881576,0.0131277660514813,0.0122405059811918,0.0043833974822884,0.0108985695894911,0.0083822474557106,0.0129591274882995,0.0140296021676274,0.0304390411510396,0.0162921527220734,0.0135228718658768,0.0115082543543603,0.0422227982078774,0.0167852464379066,0.0316836473228254,0.0115376289695945,0.0318302416542266,0.0142524943751158,0.0080820890053385,0.0138223694642216,0.0393612340095896,0.0176471914769642,0.0142431239230944,0.0088457367904141,0.028267059998001,0.0169429888659157,0.0259226530673439,0.0100377606918688,0.0468552898135949,0.0538739709863747,0.0118559636539348,0.008044859036018,0.0181229299837243,0.0057438165926729,0.0175554297315073,0.0207939376856838,0.0128779881721932,0.0200485968715197,0.0203917238262855,0.0343987497789955,0.0098968871271521,0.031327699424412,0.0123290355527827
2,0.0226272511422038,0.0484475775826186,0.0397834072331035,0.0352983450440539,0.0179769996020131,0.0438625175411688,0.0195294190600786,0.0208913066707912,0.020343229625476,0.0503971703631401,0.0097301493110178,0.0073974780877509,0.030829832974344,0.0295760462450295,0.0211977870889618,0.0234971894507591,0.0208442482729138,0.0212225490418583,0.0337668611202336,0.0251023108892079,0.0402727577059097,0.024580815729205,0.0196821004707604,0.0093225770210552,0.0408173388805427,0.0142196494358282,0.0226756572083739,0.0188600502280523,0.015286213770395,0.0106226230870091,0.0254115756756636,0.0250458345988483,0.0227920591132401,0.0288549975340706,0.0186315770845788,0.0340797058618641,0.0573257427508298,0.0325780419587702,0.025908685320467,0.0216625427787317,0.0232775070120586,0.019591734261483,0.0460074959451925,0.0119329407212536,0.0301591391865511,0.0260284796208306,0.0311978533323468,0.0267454407531368,0.0193747142803187,0.0213809322236815,0.0232809190701663,0.0254749335463558,0.0346817991974227,0.0235675930528026,0.0394728100212613,0.0350459926175657,0.0425193743457619,0.0299017295336995,0.0477950440137235,0.0178023706268535,0.028224691860603,0.0214368570536953,0.0215853078452067,0.0332124507722254,0.0259781057700498,0.0708888514035031,0.0659775777598576,0.0668320747365658,0.047917772641086,0.0455745304777397,0.0181924726780221,0.079514680712767,0.0245231606285266,0.0246753973490046,0.0195731486729022,0.0151433153673091,0.0225520860474644,0.0148837314441002,0.0200133151502832,0.048946969688764,0.0291844195539262,0.0135054175071509,0.0243362799754777,0.0407151952837154,0.0375929712937422,0.1151783444504886,0.0576469036151651,0.0193201178755843,0.0252943704059957,0.0197176284818737,0.0144646684976614,0.0188345541797,0.0369691093596444,0.0191150270396864,0.0124397101490889,0.02065237649843,0.0101523851479006,0.0250294086526121,0.0275998467373135,0.0332575038787832,0.0322559698587303,0.0177697491268552,0.0189240406240975,0.0176857399522181,0.0198677897079279,0.0257033874916154,0.0262766426242882,0.0292592859962769,0.0160531908095466,0.0248891928336249,0.0393224108638982,0.0165787289617201,0.008013554435043,0.0290501309258546,0.0198669244594001,0.0237037229026468,0.0193140665635119,0.0278423287614817,0.0316364358690643,0.0187792626935376,0.014630358125306,0.0120994917938668,0.0196611519845124,0.016432430384212,0.0113895845707151,0.0133188918002906,0.0116965374766261,0.0067749826758692,0.0174347973989874,0.0139988931802036,0.0265775156567653,0.0133984960198555,0.0161000231298654,0.0129177382621101,0.0117112930850624,0.0214993471643087,0.0241231513208107,0.0267393858969263,0.0112376277083458,0.0145384949935235,0.0043168802360062,0.0121601369301279,0.0082361644586727,0.0130970147246784,0.0113752495162236,0.0292970851239424,0.0141950779539188,0.0140714672636192,0.0140210639060081,0.0610866510552262,0.0175029276015269,0.0329729281085137,0.0098237225375817,0.032842778679867,0.0149006760871208,0.0116315029970097,0.0130426740720787,0.0405953552029878,0.0217812341445687,0.0157592668393832,0.0106067193752988,0.0272512668263827,0.0193062021602161,0.0291748469910628,0.0104286701825928,0.0443884695815171,0.0465139335773586,0.0121209038305195,0.0092709684334482,0.0147942518040417,0.004748608661418,0.0168852873412934,0.0197766884811578,0.0174755875841305,0.0199747921987709,0.0256555797312148,0.0423595494217733,0.0081748657924403,0.0249926437071693,0.0120765922802225
3,0.0214150114581322,0.0456970355383124,0.0384998181735807,0.040582693859157,0.0167459876823371,0.0453057517784454,0.0184262708187521,0.0402127429505131,0.0293083501329593,0.0429288888379939,0.0116317108949672,0.0200281571040335,0.0292408876175596,0.0220479362063589,0.0263968162747875,0.032669107059525,0.0272341783408726,0.0198811806971983,0.0303686737568707,0.0348341027888094,0.0309231453656249,0.0214862717076606,0.015860115799379,0.0157556107685355,0.0360121625512921,0.0133048626643817,0.0342745230068866,0.0198993825664655,0.0125922353661165,0.0166409427233145,0.0279837354434485,0.0174529551932926,0.0270344368006749,0.0282172490862501,0.0168904011501713,0.0230488341178981,0.0511692725528197,0.0573344016344119,0.0276959070585481,0.0298068979086134,0.0205981540941085,0.0173776839123454,0.0410931043606176,0.018866940572106,0.0244481826902954,0.0282030755381795,0.0169229210352794,0.0167178881037286,0.0153764192821722,0.0216606519051528,0.0446209559587822,0.0285189623191297,0.0270507361190663,0.0213155895344469,0.0370414394329179,0.0305807644080429,0.0397995889790879,0.0259660331380689,0.0370474179786059,0.0219541455788384,0.0385565417432951,0.0186928047815272,0.0207956553245046,0.0268770386137081,0.0264505218058616,0.0541594097593842,0.0413924322632893,0.0417275770440104,0.0468257026958936,0.0589785739418305,0.0186970157077408,0.085307563317583,0.0202235865338342,0.0109829949985482,0.0236577200821647,0.0214802737845209,0.0182039321448066,0.0145632684401562,0.0075336379178512,0.037769706146583,0.0247969484126928,0.0188765964446272,0.0223138009158188,0.0280483750855677,0.020892026848255,0.111196797985056,0.0658038621825405,0.0144854136042517,0.0296896036500119,0.0176159569681584,0.0134318731354527,0.0176852404540265,0.0293808168871519,0.0176804219324987,0.0148195994327244,0.0185074642169688,0.0268941832156092,0.0207538152627793,0.0245659319239696,0.0412364847544984,0.0307018483955684,0.014382938570757,0.0187780199284713,0.0223847447401534,0.0141901179690822,0.0270818733021979,0.0247166341305865,0.0282485612129409,0.0188118207742166,0.019889408283421,0.0296750240776493,0.0120610609334763,0.0080627139951376,0.0280557681673789,0.027354115338508,0.0228027336864227,0.0381290763574969,0.02872647504711,0.0291173214922186,0.0171898647032757,0.0157153681307396,0.0088909574021359,0.0253082775038813,0.0163844638569599,0.0098711372046739,0.0121893848114114,0.0115299198361272,0.0077247025213836,0.0198686659154719,0.0164969819920118,0.0250122800153716,0.0168835562440852,0.0143887236887273,0.0116155131556455,0.0118507833891527,0.0192207536637427,0.021829792549469,0.0253515118880986,0.0142041287961081,0.0150809330127395,0.0061007915962614,0.0096368373125779,0.008189562511087,0.0163680814039993,0.0098158926245625,0.0297434296450065,0.0145734618733929,0.014379797216653,0.0124055522652102,0.0335952219018274,0.0160020183529645,0.0336759024535776,0.0091452045336487,0.02986162865569,0.0140322782678283,0.0096382698982371,0.013470592059923,0.0388238526507126,0.0217615789895455,0.0132473144502525,0.0087730391243564,0.028649685142035,0.0171105796943232,0.0300609859691183,0.0083577521497293,0.0389318943803465,0.0774261019591206,0.0113000322119398,0.0095556711336107,0.0153344850454346,0.0032707107473817,0.0167283598625993,0.0209955918020821,0.0196090538610625,0.0195152352459213,0.0210117798167096,0.0413001409626208,0.0099215210575211,0.0250082331740178,0.0126158716997034
4,0.0238186728582988,0.0465985286318896,0.0324643022355674,0.0307938241739299,0.026504355773012,0.0580473308445223,0.0199094324970592,0.0223356367478664,0.0246618978657694,0.0369106637809416,0.0143606205297697,0.0071256090909678,0.0186436695977017,0.0278645754480629,0.0271602226791962,0.0219848741822479,0.0261104764722166,0.0274772278893958,0.0197841376008892,0.0302097015074474,0.039304768861975,0.0205267061315915,0.0319580357383425,0.0097509954375262,0.0424991706034687,0.0126863215490573,0.0187476324222632,0.0215756790551031,0.0108799899209876,0.0097465972108376,0.0302376519264575,0.0301152758249309,0.0221933611167708,0.0223828614646817,0.0137308754308647,0.0321113481221343,0.0408498141976185,0.0351330411625626,0.0385786109866208,0.031431157957094,0.0180828346553956,0.0253342397737413,0.0479052004724226,0.0209193633255869,0.0330940965221371,0.0308099685595142,0.0268700580314347,0.0190486606726724,0.032751861045837,0.0283882635529537,0.0192332674627869,0.0303415983116343,0.0408318761587693,0.0357602957918807,0.0200268844155187,0.025807793924018,0.0350400380878765,0.0369753910476993,0.0304698812203445,0.0137213851533329,0.0401282251625262,0.0193941363905608,0.0131008796278014,0.0303121194106511,0.0167440702915811,0.0623736053067387,0.0494864021241149,0.0376099826137818,0.0518638411678969,0.0369467051277992,0.0282861713220361,0.088199119867085,0.0342587447090851,0.0151871384679852,0.027506896995825,0.0224926414513377,0.022432646757319,0.0170644414968277,0.0228105198367361,0.0448256862859206,0.0239997883572622,0.0165731819901519,0.0212573554898504,0.027552978740675,0.015756227775103,0.1147415490736908,0.0472780842482341,0.014933495967781,0.024874591544531,0.0221238534835491,0.0141613772576391,0.0194313258129425,0.0204104077962624,0.0204623597403516,0.0126782272153966,0.0212290665729679,0.0103799255236115,0.0234215419891128,0.0266278210745456,0.0341109597688166,0.0313776889118696,0.0159396198163052,0.0179643963892318,0.0185115155233168,0.0168591100359024,0.0303242719568637,0.0239424718557171,0.0257815419214553,0.0166899951670156,0.0187494815888117,0.0279416065778838,0.0123803646816422,0.0084894962472439,0.030170451150347,0.0207867250553384,0.0233359752692059,0.0238119344847287,0.0285281050577497,0.0294288292012485,0.0171461067558714,0.0184451904783022,0.0118596076747738,0.0237674425665934,0.0165743571480354,0.01239130632408,0.0116450389165902,0.0118775177629595,0.0068403424255754,0.0229959985065303,0.0139087460917432,0.0243313521419296,0.0135014773179039,0.0144124413492764,0.0117461419232829,0.0120830423011618,0.0223068531174093,0.0208943281958923,0.0382724516876358,0.0102927293263958,0.015307041908985,0.0071885396864442,0.0100331898360101,0.0089364845415357,0.0160695703101644,0.0102755270128703,0.0305061748739855,0.0149436751114654,0.014892981087828,0.0127094413353151,0.0416351947822665,0.015645654387166,0.0328572070974098,0.0098894747014937,0.030384247958659,0.0128605636911213,0.0100232189934594,0.0144137393711436,0.0388460702624092,0.0200998618605312,0.013009450053921,0.0107691311751763,0.0250299599674381,0.0187850207319672,0.0244200717971804,0.0095319041225423,0.0531273455133402,0.0511446972500542,0.0113127179510996,0.0088867863139128,0.0171026721329281,0.0052726721471386,0.0170442452598538,0.0224694705766743,0.0153925501198607,0.0202552087539172,0.0223065857629753,0.043218978624135,0.0076127347793233,0.0282815711279476,0.014111379234451
